Roubos; Janeiro; 15; 48
Furtos; Janeiro; 15; 111
Sequestro; Janeiro; 15; 0
Estelionato; Janeiro; 15; 28
Apreensão de Drogas; Janeiro; 15; 4
Tráfico de Drogas; Janeiro; 15; 4
Registro de Ocorrências; Janeiro; 15; 312
Homicídio Doloso; Janeiro; 16; 1
Latrocínio; Janeiro; 16; 0
Homicídio por intervenção policial; Janeiro; 16; 0
Letalidade Violenta; Janeiro; 16; 1
Estupro; Janeiro; 16; 5
Roubos; Janeiro; 16; 181
Furtos; Janeiro; 16; 363
Sequestro; Janeiro; 16; 0
Estelionato; Janeiro; 16; 144
Apreensão de Drogas; Janeiro; 16; 24
Tráfico de Drogas; Janeiro; 16; 4
Registro de Ocorrências; Janeiro; 16; 1248
Homicídio Doloso; Janeiro; 17; 3
Latrocínio; Janeiro; 17; 1
Homicídio por intervenção policial; Janeiro; 17; 1
Letalidade Violenta; Janeiro; 17; 5
Estupro; Janeiro; 17; 3
Roubos; Janeiro; 17; 183
Furtos; Janeiro; 17; 142
Sequestro; Janeiro; 17; 0
Estelionato; Janeiro; 17; 19
Apreensão de Drogas; Janeiro; 17; 10
Tráfico de Drogas; Janeiro; 17; 2
Registro de Ocorrências; Janeiro; 17; 594
Homicídio Doloso; Janeiro; 18; 1
Latrocínio; Janeiro; 18; 0
Homicídio por intervenção policial; Janeiro; 18; 2
Letalidade Violenta; Janeiro; 18; 3
Estupro; Janeiro; 18; 0
Roubos; Janeiro; 18; 164
Furtos; Janeiro; 18; 186
Sequestro; Janeiro; 18; 0
Estelionato; Janeiro; 18; 43
Apreensão de Drogas; Janeiro; 18; 5
Tráfico de Drogas; Janeiro; 18; 0
Registro de Ocorrências; Janeiro; 18; 574
Homicídio Doloso; Janeiro; 19; 3
Latrocínio; Janeiro; 19; 0
Homicídio por intervenção policial; Janeiro; 19; 1
Letalidade Violenta; Janeiro; 19; 4
Estupro; Janeiro; 19; 5
Roubos; Janeiro; 19; 96
Furtos; Janeiro; 19; 193
Sequestro; Janeiro; 19; 0
